State,District,University Type,Name of the University,Location (Rural/ Urban),Women's University (Yes/No),List of Attached Colleges and Institutions - State,List of Attached Colleges and Institutions - District,List of Attached Colleges and Institutions - Type,List of Attached Colleges and Institutions - Management,List of Attached Colleges and Institutions - Name,List of Attached Colleges and Institutions - Location (Rural/Urban),List of Attached Colleges and Institutions - Women's College (Yes/No),List of Attached Colleges and Institutions - Whether Autonomous
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Shri Sai Institute of Engineering and Technology, Vadiyampet, Anantapur (Id: C-26975)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Siddhartha Institute of Science & Technology, Puttur (Id: C-26976)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Fathima Institute of Technology & Management, Ramarajupally (Id: C-26861)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"AVR & SVR College of Engineering College, Nannur, Kurnool (Id: C-26978)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"St Jones of Engineering College &Pharmaceutical Sciences, Yemmiganur (Id: C-26977)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,K.S.R.M. College of Engineering (MBA) (Id: C-26850),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"St Jones of Engineering College & Technology, Yemmiganur (Id: C-26860)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"St. Mark Educational Institution Society Group of Institution, Anantapur (Id: C-26989)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"AVR & SVR College of Engineering & Technology, Nandyal (Id: C-26873)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"RGM Group of Institutions, Nandyal (Id: C-26849)",Rural,No,Yes
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Chadalawada Venkata Subbaiah College of Engineering, Tirupathi (Id: C-26882)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Annamacharya P.G. College of Computer Studies, Rajampet (Id: C-26875)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,Parvatha Reddy Babul Reddy Visvodaya Institute of Technology & Science (Id: C-26874),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Anantapur,Affiliated College,Private Un-Aided,"Sreenivasa Ramunjum Institute of Technology, Anantapur (Id: C-26984)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,Priyadarshini Institute of Tecnology (Id: C-26985),Rural,No,Yes
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Modugula Kalavathamma Institue of Technology for Women,Rajampet (Id: C-26980)",Rural,Yes,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,Malineni Lakshmaiah Institute of Engineering & Technology (Id: C-26983),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,P.Rami Reddy Memorial College of Pharmacy (Id: C-26981),Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"Santhiram College of Pharmacy, Nandyal (Id: C-26982)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Master Institute of Management Science & Technology, Kavali (Id: C-26986)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Yogananda Institute of Technology & Science, (YITS) Tirupathi. (Id: C-26881)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Sri Padmavathi School of Pharmacy, Tirupathi (Id: C-26878)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Krishna Teja Pharmacy College, Tirupati (Id: C-26876)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,"Creative Educational Society's College of Pharmacy, Kurnool (Id: C-26877)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Noble College of Computer Sciences-MBA, Kavali (Id: C-26951)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,Vasavi Institute of Pharmaceutical Science (Id: C-26988),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"KMM Institute of Technology & Science, Tirupathi (Id: C-26880)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Chaitanya Bharathi Institute of Technology, Proddutur (Id: C-26867)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Sri Sai Inst. of Technology & Science, 2/714-18, Rayachoti (Id: C-26987)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,Madina Engineering College (Id: C-26879),Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,Global College of Engineering & Technology (Id: C-26950),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,"Anjan Narasimha Munaga Kancharla Thummapudi Institute of Technology & Management, Badvel (Id: C-26933)",Rural,No,No
